"#Freq","#Power","#Lat","#Lon"
"90.300000","25.000000","26.933333333333334","-105.66666666666667"
"90.300000","25.000000","16.75","-93.11666666666666"
"90.300000","15.240000","20.633333333333333","-105.23333333333333"
"90.300000","15.000000","24.8","-107.38333333333334"
"90.300000","3.000000","18.616666666666667","-99.18333333333334"
"90.500000","100.000000","19.366666666666667","-99.11666666666666"
"90.500000","30.000000","26.316666666666666","-98.81666666666666"
"90.500000","25.000000","21.916666666666668","-102.26666666666667"
"90.500000","25.000000","28.216666666666665","-105.46666666666667"
"90.500000","25.000000","18.35","-99.53333333333333"
"90.500000","25.000000","18.1","-94.05"
"90.500000","25.000000","30.416666666666668","-107.91666666666667"
"90.500000","25.000000","21.516666666666666","-98.38333333333334"
"90.500000","20.000000","27.5","-109.9"
"90.500000","14.400000","18.916666666666668","-103.9"
"90.500000","9.650000","17.65","-101.55"
