Poblacion,Estado,Tipo,Concesionario/Permisionario,Distintivo,Banda,Frecuencia (kHz),Potencia Diurna y Nocturna,Inicio,Fin,Latitud,Longitud,Altitud,
SABINAS HIDALGO,N.L.,(C),"RADIODIFUSORAS INDEPENDIENTES, S.A. DE C.V.",XESH,AM,1400,1 -D  1 -N,03/07/04,02/07/16,263011,1001104,301,
SAN NICOLÁS DE LOS GARZA,N.L.,(C),"RADIO AUDITORIO, S.A. DE C.V.",XEFZ,AM,660,10 -D  1 -N,29/03/13,28/03/25,254430,1001808,508,
SAN NICOLÁS DE LOS GARZA,N.L.,(C),"EMISORAS INCORPORADAS DE MONTERREY, S.A.",XEH,AM,1420,5 -D  0.4 -N,04/07/04,03/07/16,254430,1001808,508,
SAN NICOLÁS DE LOS GARZA,N.L.,(C),"EMISORAS INCORPORADAS DE MONTERREY, S.A.",XEMN,AM,600,1 -D  0.5 -N,04/07/04,03/07/16,254430,1001808,508,
SAN NICOLÁS DE LOS GARZA,N.L.,(C),"RADIO TRIUNFOS, S.A. DE C.V.",XET,AM,990,50 -D  50 -N,24/01/04,23/01/16,254430,1001808,508,
SAN NICOLÁS DE LOS GARZA,N.L.,(C),"AGRUPACIÓN DE RADIO, S.A. DE C.V.",XEVB,AM,1310,5 -D  N.A. -N,01/09/07,31/08/19,254430,1001808,508,
EL VIGÍA,OAX.,(C),"RADIO SOLUCIÓN, S.A. DE C.V.",XEPX,AM,650,5 -D  0.2 -N,27/09/07,26/09/19,154318,962815,170,
GUELATAO DE JUÁREZ,OAX.,(P),COMISIÓN NACIONAL PARA EL DESARROLLO DE LOS PUEBLOS INDÍGENAS,XEGLO,AM,780,10 -D  N.A. ,04/05/89,N.D.,171905,962935,1796,
MATÍAS ROMERO,OAX.,(C),"COMPLEJO SATELITAL, S.A. DE C.V.",XEYG,AM,660,1 -D  0.5 -N,06/06/10,05/06/20,165220,950230,198,
OAXACA DE JUÁREZ,OAX.,(C),"RADIO XEIU, S.A. DE C.V.",XEIU,AM,990,2.5 -D  1 -N,22/11/07,21/11/19,170404,964312,1557,
OAXACA DE JUÁREZ,OAX.,(C),"RADIODIFUSORA XEOA-AM, S.A. DE C.V.",XEOA,AM,570,5 -D  2.5 -N,04/07/04,03/07/16,170404,964312,1557,
OAXACA DE JUÁREZ,OAX.,(P),UNIVERSIDAD AUTÓNOMA BENITO JUÁREZ DE OAXACA,XEUBJ,AM,1400,1 -D  1 -N,23/03/00,R,170404,964312,1557,
PUERTO ESCONDIDO,OAX.,(C),"RADIO SOLUCIÓN, S.A. DE C.V.",XEACC,AM,870,10 -D  0.25 -N,11/04/09,10/04/19,155143,970418,65,
PUTLA DE GUERRERO,OAX.,(C),MICHAEL AMANDO MENESES OLAYA,XEPOR,AM,740,5 -D  1 -N,08/08/06,07/08/18,170133,975545,744,
SALINA CRUZ,OAX.,(C),HUMBERTO ALEJANDRO LOPEZLENA ROBLES,XEHLL,AM,550,1 -D  0.25 -N,04/07/04,03/07/16,161057,951145,22,
SAN LUCAS OJITLAN,OAX.,(P),COMISIÓN NACIONAL PARA EL DESARROLLO DE LOS PUEBLOS INDÍGENAS,XEOJN,AM,950,10 -D  N.A. -N,15/03/91,N.D.,180324,962351,157,
SANTA CRUZ AMILPAS,OAX.,(C),"PROMOTORA DE RADIODIFUSIÓN DEL SURESTE, S.A. DE C.V.",XEKC,AM,1460,5 -D  0.5 -N,19/04/10,18/04/20,170330,964100,1540,
SANTA MARÍA ASUNCIÓN TLAXIACO,OAX.,(P),COMISIÓN NACIONAL PARA EL DESARROLLO DE LOS PUEBLOS INDÍGENAS,XETLA,AM,930,5 -D  N.A. -N,01/01/85,N.D.,171433,975956,1759,???
SANTIAGO JAMILTEPEC,OAX.,(P),COMISIÓN NACIONAL PARA EL DESARROLLO DE LOS PUEBLOS INDÍGENAS,XEJAM,AM,1260,10 -D  N.A. ,03/08/92,N.D.,161645,974913,460,
CUETZALAN DE PROGRESO,PUE.,(P),COMISIÓN NACIONAL PARA EL DESARROLLO DE LOS PUEBLOS INDÍGENAS,XECTZ,AM,1350,10 -D  N.A. ,13/08/92,N.D.,200107,973116,932,
IZUCAR DE MATAMOROS,PUE.,(C),"RADIODIFUSORAS CAPITAL, S.A. DE C.V.",XEEV,AM,1330,0.5 -D  N.A. ,12/11/10,11/11/20,183756,982806,1332,
PUEBLA,PUE.,(C),"RADIO PUEBLA, S.A.",XECD,AM,1170,10 -D  2.5 -N,04/07/04,03/07/16,190243,981151,2147,
