Poblacion,Estado,Tipo,Concesionario,Distintivo,Banda,Frecuencia,Potencia W,Inicio,Fin,Latitud,Longitud,Altura,
COLIMA,COL.,(C)**,"XERL, SUCESORES DE J. ROBERTO LEVY, S.A. DE C.V.",XHERL,FM,98.9,12000,04/07/04,03/07/16,191437,1034351,484,
MANZANILLO,COL.,(C)**,"XEMAC-AM, S.A. DE C.V.",XHMAC,FM,95.3,3000,24/02/08,23/02/20,190308,1041857,11,
TAPACHULA,CHIS.,(C)**,"RADIODIFUSORA XEOE-AM, S.A. DE C.V.",XHEOE,FM,96.3,25000,04/07/04,03/07/16,145429,921538,177,
TUXTLA GUTIERREZ,CHIS.,(C)**,"IMPULSORA DE RADIO DEL SURESTE, S.A.",XHONC,FM,92.3,25000,22/12/05,21/12/17,164511,930656,522,
CD. CUAUHTÉMOC,CHIH.,(C)**,"RADIO DIVERTIDA XEDT, S.A. DE C.V.",XHDT,FM,98.3,25000,27/03/04,26/03/16,282418,1065200,2063,wiki
CD. JUÁREZ,CHIH.,(C),"RADIO XHGU, S.A. DE C.V.",XHGU,FM,105.9,100000,18/10/12,17/10/24,314422,1062913,1137,
CHIHUAHUA,CHIH.,(P)*,UNIVERSIDAD AUTÓNOMA DE CHIHUAHUA,XHERU,FM,106.9,25000,Cambio de frecuencia de la estación XERU-AM,,283807,1060520,1433,
HIDALGO DEL PARRAL,CHIH.,(C)**,"RADIO PARRALENSE, S.A. DE C.V. ",XHGD,FM,90.3,25000,20/08/10,19/08/20,265557,1053947,1718,
CD. DE MÉXICO,D.F.,(P),INSTITUTO MEXICANO DE LA RADIO,XHIMER,FM,94.5,100000,14/04/11,13/04/23,192600,998000,2500,coords. Wiki
DURANGO,DGO.,(C),"RADIO Y TELEVISIÓN DE DURANGO, S.A. DE C.V.",XHRPU,FM,102.9,2850,Es frecuencia adicional de la XERPU-AM.,,240122,1043916,1885,
CELAYA,GTO.,(C),"RADIO XHOZ-FM, S.A. DE C.V.",XHZN,FM,104.5,10000,Es frecuencia adicional de la XEZN-AM,,203144,1004854,1760,
CELAYA,GTO.,(C)**,"RADIO XEAF-AM, S.A. DE C.V.",XHAF,FM,99.5,6000,29/06/09,28/06/19,203144,1004854,1760,
CORTÁZAR,GTO.,(C),"CORPORACIÓN RADIOFÓNICA DE CELAYA, S.A. DE C.V.",XHQRO,FM,107.5,48000,20/03/01,R,202858,1005740,1740,
CUARTEL DE POZOS,GTO.,(C)**,YOLANDA GONZÁLEZ MEZA SÁNCHEZ,XHGX,FM,92.5,3000,01/08/04,31/07/16,211319,1002944,2217,
DOLORES HIDALGO,GTO.,(C)**,"REYNA LÓPEZ HERMANOS, S.A. DE C.V.",XHEJE,FM,96.3,6000,04/07/04,03/07/16,210922,1005557,1920,
EL PUESTO,GTO.,(C)**,"SEÑAL 84, S.A. DE C.V. ",XHEFG,FM,89.1,6000,04/07/04,03/07/16,203104,1004905,1750,
GUANAJUATO,GTO.,(P),UNIVERSIDAD DE GUANAJUATO,XHJUA,FM,100.7,18630,06/07/12,05/07/24,210104,1011524,2045,
IRAPUATO,GTO.,(C),"MARCO ANTONIO CONTRERAS SANTOSCOY; DOMITILA MAQUEDA E HIDALGO; ALICIA HORTENSIA, AMPARO HILDA Y ADELA CONTRERAS SANTOS ",XHNH,FM,95.1,36030,15/10/06,14/10/16,204027,1012051,1728,
